layer,head,kind,pca_dim,correlation,p_value,explained_variance_ratio
1,2,q,0,-0.0021700559627768974,0.6098553627091463,0.15564341843128204
1,2,q,1,-0.001156783974940173,0.7856121250649392,0.15475809574127197
1,2,q,2,0.027722356760855237,7.028584860119536e-11,0.06335331499576569
1,2,q,3,0.020598271548220137,1.2718119123206967e-06,0.06226285174489021
1,2,q,4,0.016038314031101113,0.0001622150978134734,0.05968800559639931
4,4,q,0,-0.7380610810665413,0.0,0.07227172702550888
4,4,q,1,-0.2848978424145125,0.0,0.06868567317724228
4,4,q,2,0.2398633872429555,0.0,0.06138962134718895
4,4,q,3,0.029801259315914833,2.3969385077101776e-12,0.053815506398677826
4,4,q,4,-0.02529118250324036,2.7133227722424416e-09,0.039468348026275635
5,2,k,0,0.0010456442757866748,0.8057760383327495,0.07065101712942123
5,2,k,1,0.012468473025693302,0.0033676313720231075,0.0702660009264946
5,2,k,2,0.06988192979699523,8.040974617536141e-61,0.046012718230485916
5,2,k,3,-0.40056131677987117,0.0,0.044919680804014206
5,2,k,4,-0.7417308290637259,0.0,0.04181499779224396
5,9,q,0,0.9116604022255524,0.0,0.09668361395597458
5,9,q,1,-0.011546388857008717,0.006624092022597019,0.0653805285692215
5,9,q,2,0.04126710626332598,2.7897798394987136e-22,0.06081380695104599
5,9,q,3,0.006613693085883042,0.11989880293063586,0.052979350090026855
5,9,q,4,-0.03214058430657878,4.040836443955435e-14,0.04397646710276604
7,1,k,0,0.2927418266504337,0.0,0.10683280974626541
7,1,k,1,0.5900888055185287,0.0,0.07926397025585175
7,1,k,2,-0.6132879974604631,0.0,0.06118105724453926
7,1,k,3,-0.21768636664820384,0.0,0.05025019869208336
7,1,k,4,-0.09553546946870722,2.8758671628335536e-112,0.04408734291791916
11,4,k,0,-0.025876274351697988,1.159736263731091e-09,0.12225199490785599
11,4,k,1,-0.9086622109364964,0.0,0.06708269566297531
11,4,k,2,0.021683533106661622,3.407515408933295e-07,0.04549630731344223
11,4,k,3,-0.075895467305373,1.93929798812313e-71,0.04393017664551735
11,4,k,4,-0.0023793145573124314,0.5758298254545069,0.03732212260365486
12,5,q,0,0.8194628413231213,0.0,0.09571609646081924
12,5,q,1,0.04800004271684563,1.4127477233160336e-29,0.07313533127307892
12,5,q,2,-0.011880485427213771,0.005210176406552744,0.040499165654182434
12,5,q,3,0.1298405162033332,1.867887972087085e-206,0.038363419473171234
12,5,q,4,-0.09612815237378626,1.2009190972273194e-113,0.03290317580103874
14,0,q,0,0.07114593421085254,5.578630892537188e-63,0.07820845395326614
14,0,q,1,0.30631221635423156,0.0,0.07553496956825256
14,0,q,2,-0.782012494766207,0.0,0.05684754252433777
14,0,q,3,0.10363692417083707,7.160123944150494e-132,0.038981400430202484
14,0,q,4,-0.019417676030021758,4.961396335399228e-06,0.035418108105659485
27,13,q,0,0.7737756547758338,0.0,0.07526863366365433
27,13,q,1,-0.08807999076585045,1.1766636367717982e-95,0.066617451608181
27,13,q,2,-0.024107059126349462,1.4321892166603221e-08,0.05134176090359688
27,13,q,3,-0.12784544813207407,3.589623720243982e-200,0.048417944461107254
27,13,q,4,-0.05258200820644759,3.659297365426182e-35,0.04689520597457886
30,2,k,0,0.6707839690062896,0.0,0.06751849502325058
30,2,k,1,0.4651939828818082,0.0,0.052592452615499496
30,2,k,2,0.26603711211189207,0.0,0.0476171150803566
30,2,k,3,-0.1279919514876981,1.2503557689876817e-200,0.04126019775867462
30,2,k,4,-0.009870525164796515,0.020283169806746243,0.03294942528009415
