layer,head,kind,pca_dim,correlation,p_value,explained_variance_ratio
1,2,q,0,0.03242736949978552,2.3997765841146944e-14,0.26779305934906006
1,2,q,1,-0.009845748800744947,0.02059971380610421,0.1446591317653656
1,2,q,2,-0.019586051650974316,4.104536677638717e-06,0.06550116837024689
1,2,q,3,-0.04707086128151009,1.6653140216663304e-28,0.060930974781513214
1,2,q,4,-0.034498675276291274,4.872655625517383e-16,0.03980495035648346
4,4,q,0,-0.03436734166100276,6.282028192774016e-16,0.10798319429159164
4,4,q,1,-0.02831861252752064,2.732030708014595e-11,0.07706370949745178
4,4,q,2,0.025392146590004997,2.3462584078511447e-09,0.0484248511493206
4,4,q,3,-0.014362096044628521,0.0007318538559607195,0.04605865105986595
4,4,q,4,-0.04181983016756343,7.718719075702355e-23,0.03665020316839218
5,2,k,0,0.023829628858554903,2.0918221670880902e-08,0.15016837418079376
5,2,k,1,0.048703079346125944,2.1165529358066778e-30,0.11309492588043213
5,2,k,2,0.035405012595867716,8.225617371026635e-17,0.05305137857794762
5,2,k,3,0.10469318666889965,1.5114901200553898e-134,0.043491996824741364
5,2,k,4,0.015673202716837642,0.00022806362234716236,0.036737509071826935
5,9,q,0,0.04543367256498494,1.1453544223600057e-26,0.1039629578590393
5,9,q,1,0.005439952595636643,0.20082983172264443,0.09245118498802185
5,9,q,2,-0.024809356160290213,5.388375306582943e-09,0.07999207824468613
5,9,q,3,-0.02440501082043093,9.49070885526765e-09,0.05787890776991844
5,9,q,4,-0.03910613414474794,3.607658777898894e-20,0.038773275911808014
7,1,k,0,0.20663547148798245,0.0,0.20082737505435944
7,1,k,1,0.045014270526294455,3.3060131509554654e-26,0.15919731557369232
7,1,k,2,0.153564444697722,6.365503133322834e-289,0.10133298486471176
7,1,k,3,-0.25814505463328896,0.0,0.06112314760684967
7,1,k,4,0.06720419653408488,2.2411460192483095e-56,0.0415959469974041
11,4,k,0,-0.14132043817836024,1.4352055035612023e-244,0.21595673263072968
11,4,k,1,0.08356433214100845,2.9439170463497473e-86,0.06698882579803467
11,4,k,2,-0.09568118919309475,1.3196575163674265e-112,0.048095155507326126
11,4,k,3,-0.006804416122829537,0.10958799976307616,0.03825269266963005
11,4,k,4,-0.03892196095732367,5.395609722298912e-20,0.0332702100276947
12,5,q,0,0.051531339836676605,7.745362328748e-34,0.17099350690841675
12,5,q,1,-0.11323358683107015,3.3838731462724505e-157,0.10575594007968903
12,5,q,2,0.12901591453244557,7.598005017602374e-204,0.0747293084859848
12,5,q,3,0.03152413864430677,1.2198481471339126e-13,0.06313516944646835
12,5,q,4,-0.13972736403271951,4.42583002133796e-239,0.042589884251356125
14,0,q,0,-0.011879535788600805,0.005213775407350845,0.12077033519744873
14,0,q,1,-0.04640673175244395,9.432062451920366e-28,0.10289864987134933
14,0,q,2,0.04862763251901393,2.5981983920299128e-30,0.07009807229042053
14,0,q,3,0.03252051766022102,2.0241773819351847e-14,0.053651317954063416
14,0,q,4,-0.004003798080657208,0.3464591009857978,0.04482070729136467
27,13,q,0,-0.037563274346187864,9.92417588243111e-19,0.14120164513587952
27,13,q,1,-0.013802933736759268,0.0011709841656632972,0.09195692092180252
27,13,q,2,0.02796040999509452,4.830915554282635e-11,0.06835363805294037
27,13,q,3,-0.007978181464672274,0.06064636657692087,0.04961950331926346
27,13,q,4,-0.025961691503899983,1.0228116441225468e-09,0.04570974409580231
30,2,k,0,-0.17688513046522467,0.0,0.1298934370279312
30,2,k,1,-0.07137591549538468,2.2365125895151608e-63,0.11136035621166229
30,2,k,2,-0.0033707724729765427,0.42799639548169044,0.07288304716348648
30,2,k,3,0.18784737809474722,0.0,0.053274888545274734
30,2,k,4,-0.022248943250057475,1.673313752624202e-07,0.04306435212492943
